type,src,dst,cidx,didx,period,error,cktElement,cktTerminal,cktPhase,cktProperty
Sensor,611,632,0,0,20,1.667e-05,Line_684611,BUS2,PHASE_3,None
Actuator,632,650,0,0,20,1.667e-05,RegControl_Reg3,BUS1,PHASE_3,None
