type,src,dst,cidx,didx,period,error,cktElement,cktTerminal,cktPhase,cktProperty
SmartMeter,2093,1,0,0,15000,1.667e-05,Load.2093,BUS1,PHASE_2,None
SmartMeter,2094,1,0,0,15000,1.667e-05,Load.2094,BUS1,PHASE_3,None
SmartMeter,2095,1,0,0,15000,1.667e-05,Load.2095,BUS1,PHASE_2,None
SmartMeter,2096,1,0,0,15000,1.667e-05,Load.2096,BUS1,PHASE_2,None
SmartMeter,2097,1,0,0,15000,1.667e-05,Load.2097,BUS1,PHASE_3,None
SmartMeter,2098,1,0,0,15000,1.667e-05,Load.2098,BUS1,PHASE_3,None
SmartMeter,2099,1,0,0,15000,1.667e-05,Load.2099,BUS1,PHASE_2,None
SmartMeter,2100,1,0,0,15000,1.667e-05,Load.2100,BUS1,PHASE_2,None
SmartMeter,2101,1,0,0,15000,1.667e-05,Load.2101,BUS1,PHASE_1,None
SmartMeter,2102,1,0,0,15000,1.667e-05,Load.2102,BUS1,PHASE_3,None
SmartMeter,2103,1,0,0,15000,1.667e-05,Load.2103,BUS1,PHASE_1,None
SmartMeter,2104,1,0,0,15000,1.667e-05,Load.2104,BUS1,PHASE_1,None
SmartMeter,2105,1,0,0,15000,1.667e-05,Load.2105,BUS1,PHASE_2,None
SmartMeter,2106,1,0,0,15000,1.667e-05,Load.2106,BUS1,PHASE_1,None
SmartMeter,2107,1,0,0,15000,1.667e-05,Load.2107,BUS1,PHASE_1,None
SmartMeter,2108,1,0,0,15000,1.667e-05,Load.2108,BUS1,PHASE_2,None
SmartMeter,2109,1,0,0,15000,1.667e-05,Load.2109,BUS1,PHASE_1,None
SmartMeter,2110,1,0,0,15000,1.667e-05,Load.2110,BUS1,PHASE_1,None
SmartMeter,3056,1,0,0,15000,1.667e-05,Load.3056,BUS1,PHASE_1,None
SmartMeter,3057,1,0,0,15000,1.667e-05,Load.3057,BUS1,PHASE_2,None
SmartMeter,3058,1,0,0,15000,1.667e-05,Load.3058,BUS1,PHASE_1,None
SmartMeter,3059,1,0,0,15000,1.667e-05,Load.3059,BUS1,PHASE_1,None
SmartMeter,3060,1,0,0,15000,1.667e-05,Load.3060,BUS1,PHASE_1,None
